iter	Passed	Remaining
0	7	7934
1	14	7096
2	21	7082
3	28	7103
4	35	7029
5	43	7252
6	50	7232
7	58	7282
8	66	7321
9	75	7476
10	83	7491
11	92	7584
12	98	7500
13	106	7501
14	113	7450
15	121	7447
16	127	7387
17	134	7350
18	142	7361
19	149	7326
20	156	7308
21	163	7280
22	171	7281
23	178	7274
24	187	7309
25	194	7268
26	201	7273
27	208	7254
28	216	7233
29	223	7220
30	229	7185
31	237	7180
32	244	7158
33	251	7155
34	258	7127
35	265	7102
36	272	7105
37	280	7109
38	289	7144
39	300	7201
40	307	7187
41	316	7213
42	324	7214
43	333	7239
44	340	7232
45	350	7259
46	358	7259
47	365	7242
48	371	7216
49	378	7188
50	385	7166
51	391	7143
52	398	7129
53	406	7113
54	413	7096
55	420	7085
56	426	7059
57	433	7047
58	440	7021
59	447	7014
60	454	6990
61	460	6970
62	467	6954
63	474	6940
64	481	6930
65	488	6913
66	496	6914
67	502	6887
68	509	6870
69	516	6855
70	522	6835
71	529	6830
72	536	6816
73	544	6807
74	550	6792
75	557	6781
76	564	6772
77	571	6756
78	579	6752
79	586	6739
80	593	6731
81	600	6721
82	607	6708
83	614	6700
84	621	6688
85	628	6684
86	635	6672
87	643	6668
88	650	6657
89	658	6654
90	665	6648
91	674	6661
92	682	6658
93	691	6669
94	699	6666
95	708	6672
96	715	6662
97	723	6657
98	730	6644
99	737	6633
100	744	6628
101	751	6617
102	759	6612
103	765	6599
104	772	6588
105	779	6576
106	786	6566
107	793	6553
108	799	6539
109	807	6534
110	814	6522
111	821	6514
112	828	6505
113	836	6497
114	843	6491
115	851	6486
116	858	6478
117	865	6468
118	872	6456
119	878	6444
120	886	6439
121	893	6429
122	900	6419
123	906	6407
124	913	6394
125	920	6386
126	927	6375
127	935	6371
128	942	6363
129	949	6354
130	956	6347
131	964	6339
132	972	6337
133	980	6334
134	988	6331
135	996	6328
136	1003	6322
137	1011	6318
138	1019	6317
139	1027	6310
140	1035	6306
141	1042	6298
142	1050	6294
143	1058	6291
144	1066	6288
145	1073	6280
146	1081	6275
147	1090	6276
148	1099	6280
149	1108	6279
150	1119	6292
151	1134	6329
152	1157	6408
153	1181	6492
154	1190	6489
155	1198	6482
156	1210	6499
157	1220	6506
158	1229	6502
159	1238	6500
160	1245	6490
161	1252	6478
162	1259	6466
163	1266	6453
164	1273	6446
165	1280	6432
166	1287	6421
167	1294	6408
168	1301	6398
169	1307	6385
170	1314	6372
171	1321	6362
172	1328	6352
173	1336	6342
174	1343	6332
175	1350	6322
176	1357	6310
177	1363	6296
178	1370	6288
179	1378	6278
180	1386	6272
181	1393	6260
182	1400	6251
183	1407	6240
184	1413	6229
185	1421	6220
186	1427	6207
187	1435	6198
188	1441	6186
189	1448	6174
190	1455	6163
191	1462	6154
192	1470	6146
193	1476	6135
194	1484	6127
195	1490	6115
196	1497	6105
197	1504	6095
198	1511	6084
199	1519	6076
200	1525	6064
201	1533	6057
202	1540	6047
203	1547	6038
204	1554	6030
205	1562	6020
206	1569	6011
207	1575	6000
208	1583	5991
209	1590	5983
210	1598	5976
211	1604	5964
212	1611	5955
213	1618	5943
214	1625	5933
215	1632	5924
216	1639	5915
217	1646	5906
218	1653	5895
219	1660	5886
220	1668	5880
221	1675	5871
222	1682	5862
223	1689	5853
224	1697	5847
225	1704	5836
226	1710	5825
227	1716	5813
228	1723	5803
229	1731	5795
230	1737	5784
231	1744	5776
232	1751	5765
233	1759	5758
234	1766	5749
235	1773	5742
236	1780	5732
237	1787	5722
238	1794	5714
239	1801	5704
240	1808	5696
241	1815	5687
242	1823	5679
243	1829	5668
244	1836	5659
245	1844	5652
246	1850	5641
247	1857	5632
248	1864	5623
249	1871	5614
250	1879	5608
251	1886	5599
252	1893	5591
253	1900	5581
254	1908	5576
255	1915	5566
256	1923	5560
257	1929	5550
258	1936	5541
259	1943	5532
260	1950	5523
261	1958	5517
262	1965	5507
263	1972	5500
264	1979	5490
265	1986	5480
266	1992	5470
267	1999	5460
268	2006	5453
269	2013	5443
270	2019	5433
271	2026	5422
272	2032	5413
273	2040	5405
274	2046	5395
275	2053	5386
276	2059	5376
277	2067	5369
278	2075	5362
279	2082	5354
280	2089	5346
281	2095	5336
282	2102	5327
283	2109	5318
284	2116	5309
285	2123	5300
286	2129	5290
287	2136	5282
288	2142	5271
289	2149	5261
290	2155	5252
291	2162	5242
292	2170	5236
293	2176	5227
294	2184	5219
295	2190	5210
296	2197	5201
297	2204	5193
298	2211	5184
299	2218	5177
300	2225	5168
301	2232	5159
302	2238	5150
303	2245	5141
304	2252	5132
305	2259	5123
306	2265	5114
307	2272	5105
308	2280	5099
309	2287	5091
310	2294	5083
311	2301	5075
312	2308	5066
313	2315	5058
314	2321	5049
315	2328	5040
316	2336	5033
317	2343	5025
318	2350	5017
319	2357	5008
320	2364	5001
321	2370	4992
322	2377	4984
323	2385	4976
324	2391	4967
325	2399	4960
326	2405	4951
327	2412	4943
328	2419	4935
329	2426	4927
330	2433	4918
331	2440	4909
332	2448	4903
333	2454	4894
334	2462	4888
335	2469	4879
336	2476	4872
337	2483	4865
338	2491	4857
339	2498	4850
340	2505	4841
341	2512	4834
342	2519	4825
343	2525	4816
344	2532	4807
345	2538	4798
346	2545	4790
347	2552	4781
348	2559	4773
349	2565	4765
350	2572	4756
351	2579	4748
352	2586	4739
353	2593	4733
354	2600	4724
355	2607	4716
356	2613	4707
357	2620	4699
358	2628	4692
359	2634	4683
360	2642	4676
361	2648	4667
362	2655	4660
363	2662	4651
364	2668	4643
365	2676	4635
366	2682	4627
367	2690	4620
368	2697	4612
369	2704	4604
370	2711	4596
371	2717	4588
372	2725	4581
373	2731	4572
374	2738	4564
375	2745	4556
376	2752	4548
377	2759	4541
378	2766	4532
379	2773	4525
380	2780	4517
381	2787	4509
382	2793	4500
383	2800	4492
384	2808	4486
385	2814	4477
386	2822	4470
387	2828	4461
388	2835	4453
389	2842	4445
390	2848	4437
391	2856	4429
392	2862	4421
393	2870	4415
394	2877	4407
395	2884	4399
396	2891	4391
397	2898	4383
398	2905	4377
399	2912	4369
400	2920	4363
401	2927	4355
402	2935	4348
403	2941	4340
404	2948	4331
405	2955	4324
406	2962	4316
407	2969	4309
408	2976	4300
409	2982	4292
410	2989	4284
411	2996	4276
412	3003	4269
413	3010	4261
414	3017	4253
415	3023	4245
416	3030	4237
417	3037	4229
418	3043	4220
419	3051	4213
420	3058	4205
421	3065	4198
422	3071	4189
423	3078	4182
424	3085	4174
425	3092	4166
426	3099	4158
427	3106	4151
428	3114	4145
429	3121	4137
