iter	Passed	Remaining
0	159	15802
1	163	8019
2	168	5454
3	172	4149
4	176	3357
5	180	2834
6	184	2457
7	189	2173
8	193	1953
9	196	1770
10	200	1619
11	203	1494
12	208	1393
13	211	1301
14	215	1222
15	220	1155
16	224	1094
17	228	1041
18	232	991
19	236	945
20	240	904
21	244	865
22	248	830
23	252	798
24	256	768
25	259	739
26	263	712
27	267	687
28	270	663
29	274	640
30	278	619
31	282	600
32	286	582
33	290	563
34	294	546
35	298	530
36	302	514
37	305	498
38	309	483
39	312	469
40	316	455
41	320	442
42	324	429
43	328	417
44	332	406
45	335	394
46	339	382
47	343	372
48	347	361
49	351	351
50	355	341
51	359	331
52	363	322
53	367	312
54	371	303
55	375	294
56	378	285
57	382	276
58	386	268
59	390	260
60	394	251
61	397	243
62	401	236
63	406	228
64	409	220
65	413	212
66	417	205
67	420	198
68	424	190
69	427	183
70	431	176
71	435	169
72	438	162
73	442	155
74	446	148
75	451	142
76	454	135
77	458	129
78	461	122
79	465	116
80	469	110
81	472	103
82	476	97
83	480	91
84	483	85
85	488	79
86	492	73
87	496	67
88	500	61
89	504	56
90	508	50
91	512	44
92	516	38
93	519	33
94	524	27
95	528	22
96	532	16
97	536	10
98	540	5
99	544	0
