iter	Passed	Remaining
0	138	138494
1	164	82053
2	201	66970
3	220	54797
4	255	50864
5	287	47698
6	323	45938
7	362	44918
8	399	44042
9	423	41903
10	450	40536
11	485	40001
12	515	39148
13	549	38726
14	575	37771
15	608	37436
16	644	37248
17	672	36696
18	715	36956
19	745	36518
20	782	36475
21	816	36312
22	850	36138
23	892	36288
24	935	36477
25	977	36625
26	1007	36294
27	1029	35736
28	1063	35619
29	1090	35262
30	1119	34992
31	1148	34732
32	1175	34444
33	1203	34198
34	1237	34108
35	1269	33992
36	1302	33898
37	1332	33735
38	1362	33583
39	1389	33346
40	1413	33065
41	1440	32854
42	1466	32630
43	1495	32488
44	1517	32198
45	1544	32041
46	1573	31907
47	1600	31749
48	1622	31483
49	1652	31403
50	1680	31276
51	1713	31238
52	1739	31079
53	1763	30893
54	1791	30787
55	1813	30568
56	1840	30455
57	1866	30312
58	1892	30186
59	1917	30036
60	1947	29983
61	1973	29853
62	2002	29785
63	2029	29681
64	2055	29574
65	2087	29542
66	2113	29437
67	2138	29311
68	2169	29271
69	2192	29135
70	2212	28954
71	2242	28907
72	2271	28842
73	2297	28754
74	2323	28656
75	2350	28582
76	2376	28484
77	2406	28449
78	2432	28358
79	2461	28304
80	2494	28304
81	2520	28215
82	2549	28170
83	2578	28115
84	2603	28028
85	2625	27906
86	2651	27825
87	2677	27751
88	2703	27673
89	2726	27570
90	2757	27547
91	2786	27501
92	2817	27476
93	2840	27379
94	2868	27323
95	2898	27293
96	2930	27277
97	2968	27318
98	3001	27315
99	3028	27260
100	3054	27185
101	3080	27116
102	3102	27022
103	3129	26964
104	3155	26897
105	3184	26859
106	3215	26838
107	3241	26768
108	3267	26708
109	3292	26635
110	3322	26611
111	3347	26542
112	3372	26472
113	3401	26434
114	3432	26413
115	3453	26316
116	3479	26262
117	3504	26196
118	3533	26159
119	3557	26088
120	3582	26023
121	3605	25948
122	3635	25923
123	3662	25872
124	3684	25793
125	3711	25744
126	3738	25699
127	3765	25652
128	3791	25599
129	3816	25543
130	3837	25455
131	3863	25408
132	3889	25353
133	3918	25322
134	3940	25249
135	3964	25188
136	3991	25145
137	4014	25073
138	4045	25056
139	4073	25023
140	4099	24977
141	4128	24945
142	4153	24889
143	4179	24845
144	4205	24796
145	4231	24751
146	4255	24691
147	4286	24678
148	4314	24640
149	4343	24615
150	4370	24576
151	4395	24522
152	4424	24493
153	4445	24420
154	4470	24373
155	4494	24313
156	4519	24264
157	4549	24246
158	4574	24196
159	4596	24132
160	4622	24089
161	4646	24037
162	4673	23999
163	4701	23966
164	4729	23935
165	4758	23909
166	4787	23877
167	4812	23835
168	4838	23790
169	4866	23758
170	4891	23713
171	4920	23685
172	4942	23627
173	4974	23615
174	5004	23591
175	5030	23551
176	5058	23519
177	5090	23505
178	5117	23471
179	5148	23453
180	5175	23420
181	5207	23404
182	5233	23363
183	5264	23348
184	5295	23327
185	5319	23282
186	5341	23221
187	5373	23210
188	5397	23159
189	5422	23117
190	5449	23082
191	5477	23052
192	5507	23029
193	5536	23004
194	5563	22966
195	5591	22935
196	5618	22903
197	5644	22863
198	5671	22826
199	5695	22782
200	5725	22758
201	5749	22715
202	5798	22763
203	5826	22733
204	5849	22684
205	5884	22682
206	5914	22656
207	5940	22620
208	5965	22579
209	5990	22535
210	6020	22511
211	6050	22489
212	6078	22460
213	6105	22423
214	6131	22387
215	6156	22347
216	6188	22330
217	6217	22304
218	6245	22272
219	6275	22248
220	6303	22220
221	6329	22182
222	6355	22143
223	6383	22113
224	6409	22075
225	6435	22041
226	6460	21998
227	6488	21970
228	6511	21923
229	6535	21879
230	6567	21863
231	6597	21838
232	6625	21809
233	6650	21771
234	6673	21724
235	6701	21694
236	6722	21641
237	6744	21595
238	6770	21557
239	6795	21519
240	6823	21488
241	6853	21466
242	6878	21429
243	6909	21409
244	6940	21387
245	6973	21374
246	6998	21335
247	7021	21289
248	7046	21252
249	7074	21222
250	7100	21187
251	7127	21155
252	7159	21140
253	7193	21126
254	7222	21100
255	7256	21088
256	7285	21063
257	7312	21030
258	7341	21003
259	7374	20990
260	7408	20975
261	7431	20933
262	7463	20914
263	7497	20900
264	7528	20880
265	7556	20851
266	7586	20827
267	7615	20800
268	7641	20764
269	7669	20735
270	7697	20705
271	7729	20687
272	7764	20676
273	7797	20660
274	7831	20645
275	7859	20616
276	7885	20583
277	7913	20552
278	7937	20512
279	7965	20483
280	7990	20446
281	8012	20401
282	8041	20374
283	8068	20341
284	8095	20308
285	8122	20277
286	8149	20246
287	8176	20214
288	8206	20189
289	8233	20157
290	8268	20146
291	8324	20184
292	8360	20173
293	8400	20173
294	8440	20170
